DATE,WIMFG
1/1/1990,522.5
2/1/1990,525
3/1/1990,525.2
4/1/1990,523.7
5/1/1990,523.8
6/1/1990,523.5
7/1/1990,522.6
8/1/1990,523.5
9/1/1990,523.2
10/1/1990,523.3
11/1/1990,521
12/1/1990,518.3
1/1/1991,514.9
2/1/1991,511.5
3/1/1991,510.2
4/1/1991,511.1
5/1/1991,510.3
6/1/1991,513.8
7/1/1991,513.7
8/1/1991,513.4
9/1/1991,514.5
10/1/1991,513.5
11/1/1991,513.5
12/1/1991,511.6
1/1/1992,513.6
2/1/1992,512.3
3/1/1992,512.4
4/1/1992,514.6
5/1/1992,515.3
6/1/1992,515.7
7/1/1992,518.3
8/1/1992,518.5
9/1/1992,519.4
10/1/1992,520.3
11/1/1992,520.7
12/1/1992,520.9
1/1/1993,523
2/1/1993,524.9
3/1/1993,526
4/1/1993,525.2
5/1/1993,525.8
6/1/1993,525.6
7/1/1993,523.4
8/1/1993,524.9
9/1/1993,526.2
10/1/1993,529.5
11/1/1993,529.6
12/1/1993,530.8
1/1/1994,531.8
2/1/1994,533.4
3/1/1994,535.3
4/1/1994,540.1
5/1/1994,541.6
6/1/1994,544.5
7/1/1994,549.4
8/1/1994,549.6
9/1/1994,553.3
10/1/1994,555.5
11/1/1994,558.5
12/1/1994,560.3
1/1/1995,565.2
2/1/1995,567.3
3/1/1995,564.4
4/1/1995,567.5
5/1/1995,565.6
6/1/1995,566.6
7/1/1995,567.7
8/1/1995,569.5
9/1/1995,568.4
10/1/1995,566.9
11/1/1995,566.3
12/1/1995,565.4
1/1/1996,564.2
2/1/1996,563.4
3/1/1996,563.6
4/1/1996,569.2
5/1/1996,568.3
6/1/1996,568.3
7/1/1996,567.2
8/1/1996,570.4
9/1/1996,568.7
10/1/1996,570.3
11/1/1996,570.1
12/1/1996,568.9
1/1/1997,568.2
2/1/1997,569.2
3/1/1997,570.1
4/1/1997,576.4
5/1/1997,579.9
6/1/1997,581
7/1/1997,581.8
8/1/1997,581.9
9/1/1997,583.3
10/1/1997,584.7
11/1/1997,586.7
12/1/1997,588.3
1/1/1998,591
2/1/1998,591.2
3/1/1998,591.5
4/1/1998,594.4
5/1/1998,595
6/1/1998,594.8
7/1/1998,589.7
8/1/1998,594.6
9/1/1998,592.8
10/1/1998,593.6
11/1/1998,594.7
12/1/1998,595.3
1/1/1999,593.7
2/1/1999,595
3/1/1999,594.4
4/1/1999,593.7
5/1/1999,593.5
6/1/1999,593.3
7/1/1999,595.8
8/1/1999,596.3
9/1/1999,595.8
10/1/1999,594.1
11/1/1999,594.5
12/1/1999,597.3
1/1/2000,596.4
2/1/2000,598.8
3/1/2000,598.7
4/1/2000,597
5/1/2000,595.3
6/1/2000,595.4
7/1/2000,593.9
8/1/2000,592.3
9/1/2000,592.1
10/1/2000,591.9
11/1/2000,591.1
12/1/2000,587.6
1/1/2001,582.8
2/1/2001,578.9
3/1/2001,575.2
4/1/2001,571
5/1/2001,566
6/1/2001,560.9
7/1/2001,557.9
8/1/2001,554.1
9/1/2001,551.2
10/1/2001,546
11/1/2001,541.6
12/1/2001,538.6
1/1/2002,536.9
2/1/2002,533.6
3/1/2002,532.8
4/1/2002,530.5
5/1/2002,529.5
6/1/2002,528.7
7/1/2002,526.6
8/1/2002,526.5
9/1/2002,525.8
10/1/2002,524.5
11/1/2002,524
12/1/2002,521.5
1/1/2003,514.7
2/1/2003,512.3
3/1/2003,509.9
4/1/2003,508.4
5/1/2003,506.3
6/1/2003,503.3
7/1/2003,501.9
8/1/2003,499.3
9/1/2003,499.1
10/1/2003,498.7
11/1/2003,498.1
12/1/2003,497.5
1/1/2004,498.7
2/1/2004,499.8
3/1/2004,500.4
4/1/2004,501.5
5/1/2004,503.1
6/1/2004,501.2
7/1/2004,503.6
8/1/2004,505
9/1/2004,504.8
10/1/2004,504.7
11/1/2004,504.8
12/1/2004,505.4
1/1/2005,501.2
2/1/2005,505.5
3/1/2005,505.6
4/1/2005,505.5
5/1/2005,505.2
6/1/2005,505
7/1/2005,506
8/1/2005,505.8
9/1/2005,504.9
10/1/2005,504.7
11/1/2005,504.4
12/1/2005,504.4
1/1/2006,505.4
2/1/2006,505.3
3/1/2006,506.3
4/1/2006,506.7
5/1/2006,506.6
6/1/2006,507.6
7/1/2006,507.4
8/1/2006,506.8
9/1/2006,505.9
10/1/2006,504.8
11/1/2006,503.5
12/1/2006,503.1
1/1/2007,502.6
2/1/2007,502.8
3/1/2007,501.9
4/1/2007,502.3
5/1/2007,503
6/1/2007,503.4
7/1/2007,502.8
8/1/2007,501.3
9/1/2007,499.3
10/1/2007,498.4
11/1/2007,498.5
12/1/2007,498.6
1/1/2008,499.6
2/1/2008,500.3
3/1/2008,500
4/1/2008,498.8
5/1/2008,498
6/1/2008,497.6
7/1/2008,493.4
8/1/2008,491
9/1/2008,488
10/1/2008,486.4
11/1/2008,483
12/1/2008,478.2
1/1/2009,469.5
2/1/2009,459.4
3/1/2009,450.8
4/1/2009,440.7
5/1/2009,435.1
6/1/2009,429.6
7/1/2009,425
8/1/2009,424.2
9/1/2009,427.9
10/1/2009,425.8
11/1/2009,425.1
12/1/2009,424.6
1/1/2010,423.6
2/1/2010,424.6
3/1/2010,426.5
4/1/2010,427.7
5/1/2010,429.6
6/1/2010,430.7
7/1/2010,432.5
8/1/2010,433.4
9/1/2010,434
10/1/2010,433.8
11/1/2010,435
12/1/2010,436.2
1/1/2011,437.3
2/1/2011,439.4
3/1/2011,440.8
4/1/2011,444
5/1/2011,445
6/1/2011,444.9
7/1/2011,446.9
8/1/2011,447.8
9/1/2011,447.9
10/1/2011,447.4
11/1/2011,448.6
12/1/2011,449.9
1/1/2012,451.3
2/1/2012,452.4
3/1/2012,453.7
4/1/2012,454.7
5/1/2012,455.2
6/1/2012,456.9
7/1/2012,457.1
8/1/2012,456.9
9/1/2012,457.1
10/1/2012,457.5
11/1/2012,457.1
12/1/2012,457.5
1/1/2013,457.4
2/1/2013,457.6
3/1/2013,457.6
4/1/2013,456.4
5/1/2013,456.3
6/1/2013,457.4
7/1/2013,455.8
8/1/2013,456.7
9/1/2013,457.3
10/1/2013,458.2
11/1/2013,459.2
12/1/2013,459.4
1/1/2014,460.2
2/1/2014,460.6
3/1/2014,461.6
4/1/2014,462.9
5/1/2014,463.8
6/1/2014,464.5
7/1/2014,465.8
8/1/2014,466.4
9/1/2014,466.6
10/1/2014,467.2
11/1/2014,467.5
12/1/2014,467.9
1/1/2015,467.9
2/1/2015,468.8
3/1/2015,468.6
4/1/2015,467.7
5/1/2015,467.6
6/1/2015,467.5
7/1/2015,467.6
8/1/2015,466.6
9/1/2015,467
10/1/2015,466.6
11/1/2015,466.5
12/1/2015,466.1
1/1/2016,466.2
2/1/2016,465.7
3/1/2016,465.6
4/1/2016,465.8
5/1/2016,465.3
6/1/2016,464.4
7/1/2016,463.6
8/1/2016,463.5
9/1/2016,463.2
10/1/2016,464
11/1/2016,464.2
12/1/2016,465.2
1/1/2017,465.6
2/1/2017,466
3/1/2017,467
4/1/2017,466.6
5/1/2017,466.7
6/1/2017,467.1
7/1/2017,467
8/1/2017,467.1
9/1/2017,466.9
10/1/2017,469.9
11/1/2017,471.6
12/1/2017,472.6
1/1/2018,475.3
2/1/2018,478.1
3/1/2018,480.2
